Customer_ID,Region,Age,Average_Premium_Paid,NPS_Score,Years_as_Customer,Feedback
CUST_0001,Rest of Switzerland,47,2063.74,7,14,"Customer service was okay, nothing exceptional."
CUST_0002,Rest of Switzerland,37,2561.24,8,6,Claims process was average.
CUST_0003,Ticino,48,3019.33,8,9,Service is fine but could improve in some areas.
CUST_0004,Rest of Switzerland,35,2489.46,4,11,The policy is overpriced compared to competitors.
CUST_0005,Rest of Switzerland,30,3576.11,7,8,Claims process was average.
CUST_0006,Rest of Switzerland,41,2349.1,9,10,I am very satisfied with the claims process.
CUST_0007,Ticino,59,1713.09,8,5,Service is fine but could improve in some areas.
CUST_0008,Ticino,40,2098.12,7,12,"Customer service was okay, nothing exceptional."
CUST_0009,Rest of Switzerland,48,3922.33,6,15,The premiums are too expensive for what is offered.
CUST_0010,Rest of Switzerland,25,3437.11,4,7,Claims handling took too long.
CUST_0011,Rest of Switzerland,42,2351.35,9,10,Customer service was very supportive.
CUST_0012,Rest of Switzerland,32,1906.28,6,14,The premiums are too expensive for what is offered.
CUST_0013,Rest of Switzerland,44,3946.25,8,8,The policy is decent but not outstanding.
CUST_0014,Rest of Switzerland,40,2015.34,6,3,Claims handling took too long.
CUST_0015,Rest of Switzerland,42,5694.04,6,10,The policy is overpriced compared to competitors.
CUST_0016,Ticino,59,1890.29,8,7,Pricing is similar to other companies.
CUST_0017,Rest of Switzerland,42,2016.77,4,11,The policy is overpriced compared to competitors.
CUST_0018,Rest of Switzerland,43,3079.45,8,14,Pricing is similar to other companies.
CUST_0019,Rest of Switzerland,40,3313.78,4,9,Unhappy with the claims resolution process.
CUST_0020,Rest of Switzerland,46,2946.84,8,7,Pricing is similar to other companies.
CUST_0021,Rest of Switzerland,40,1800.42,7,8,Claims process was average.
CUST_0022,Rest of Switzerland,35,2925.11,4,16,Unhappy with the claims resolution process.
CUST_0023,Rest of Switzerland,36,3771.28,4,11,Unhappy with the claims resolution process.
CUST_0024,Ticino,58,1747.96,8,7,"Customer service was okay, nothing exceptional."
CUST_0025,Ticino,51,1154.44,9,12,Competitive pricing for a comprehensive policy.
CUST_0026,Ticino,47,3485.48,7,10,Claims process was average.
CUST_0027,Rest of Switzerland,44,2165.81,8,10,Service is fine but could improve in some areas.
CUST_0028,Rest of Switzerland,32,2274.67,9,3,Competitive pricing for a comprehensive policy.
CUST_0029,Rest of Switzerland,39,4950.66,9,10,Great value for the premium paid!
CUST_0030,Rest of Switzerland,48,5347.54,9,10,Customer service was very supportive.
CUST_0031,Rest of Switzerland,46,1596.28,5,2,Customer service was unresponsive.
CUST_0032,Rest of Switzerland,41,2043.54,4,15,Unhappy with the claims resolution process.
CUST_0033,Rest of Switzerland,35,1998.58,8,3,Service is fine but could improve in some areas.
CUST_0034,Rest of Switzerland,35,2497.87,6,4,Unhappy with the claims resolution process.
CUST_0035,Rest of Switzerland,37,4421.47,4,10,Customer service was unresponsive.
CUST_0036,Rest of Switzerland,30,3788.45,8,12,Service is fine but could improve in some areas.
CUST_0037,Rest of Switzerland,40,2295.18,8,7,Claims process was average.
CUST_0038,Ticino,50,3248.87,6,4,The premiums are too expensive for what is offered.
CUST_0039,Rest of Switzerland,36,3826.48,9,11,Competitive pricing for a comprehensive policy.
CUST_0040,Rest of Switzerland,51,2873.09,7,5,"Customer service was okay, nothing exceptional."
CUST_0041,Ticino,45,2441.49,6,10,Customer service was unresponsive.
CUST_0042,Rest of Switzerland,36,3343.09,6,15,Claims handling took too long.
CUST_0043,Rest of Switzerland,41,1802.92,9,5,Competitive pricing for a comprehensive policy.
CUST_0044,Rest of Switzerland,35,1486.31,6,3,Customer service was unresponsive.
CUST_0045,Ticino,56,2544.04,9,11,Customer service was very supportive.
CUST_0046,Rest of Switzerland,47,3327.31,5,5,The premiums are too expensive for what is offered.
CUST_0047,Ticino,51,2255.02,10,10,Competitive pricing for a comprehensive policy.
